id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,MHxbmk2g
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,xHAoXro9
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,k68G0lZe
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,rbHiYL3n
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,dIcRXKku
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,ux5P8A1i
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,EkGS0A1A
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,LLWcEa9K
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,RX60YNx3
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,jfAaSzo9
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,e3JcSDjI
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,Fr1uTr5z
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,jaAeJua4
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,fLYl1A7T
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,R0gWnvBO
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,tg24ut6v
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,2dcN3viI
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,QbpRmbjB
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,q31Wdlcv
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,Gss2vrgA
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,WszpazLF
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,jah8g9LP
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,hGGQG4ec
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,FtMY3WQS
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,Y7AJDUUU
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,KZbG1xiY
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,3yEuUqzJ
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,YWVQRm5R
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,2siGfwb2
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,Cwri8u4o
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,qLzcD1k4
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,JAvKyKz5
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,egVpWUfK
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,i6z42RyJ
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,zsqefoMJ
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,qU4ePTsk
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,PGobaAWI
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,Ol934nlT
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,tl0VuFpq
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,GJM1lg1D
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,hNnNCFkV
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,DsD2wPLp
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,L01F6o9K
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,jKrxgYxn
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,n6o7NgJv
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,FUAwlYKi
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,M3UlWWcL
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,OwL0TSre
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,FPXbc14X
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,1Z1V7Rzf
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,TpdXkCdo
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,p4Q1WOYj
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,PrN7dsp1
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,7gkAtPes
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,0pbDDLCT
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,mLbeDpmS
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,HGSBgNy3
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,MlLaMjcE
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,kt5yfA7r
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,GPCAGUXK
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,OPHqwOYp
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,h5rRR6rQ
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,4zxBqgwI
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,Z2CdtD37
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,IdZ9ZPzj
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,IVFK6agW
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,N27R8Mhr
67,Остюков Артур Романович,329,11и,3,Остюков_АР,kqJiaNBb
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,Yc8bqaMt
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,9EBTl0rw
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,LG3hvR9a
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,AN2qOQAt
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,3lWKwmhT
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,lOhaWQBu
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,1QaVWwQD
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,7WVC9inz
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,YRe5Jcih
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,mFg8u8mn
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,8rTKEYBY
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,f8Uw55tZ
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,7I5C8t2Q
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,KtWltCN9
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,J3AMB1cD
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,cH5zbq5T
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,0lHiAtqJ
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,Ms6G4XfX
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,lYPpZGOp
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,TmP14jZa
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,Iji2wUgt
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,nJrAHYyA
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,OWSPaPLQ
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,EzftKkTw
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,lyHWODgp
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,rJitgyzf
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,iRQAy7jM
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,corZ4SXn
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,T9BOsPyu
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,WqP1UWY8
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,aOCYPzle
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,8XM4Kz8r
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,B1frIaBT
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,ReDajQRU
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,KgCaj970
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,tgCqZM8C
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,WWqMIWRc
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,B2Yifs8L
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,hMgrot9M
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,7cZLEJch
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,oHIiY4nF
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,NqRgKOad
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,7AaSzaeG
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,NPHqcLRS
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,SH3RpVyB
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,UGBSiJA0
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,j9nHpYvi
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,WDURZF7S
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,pbOutImC
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,nxrrLUJs
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,xo9XbXVo
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,OzTilo23
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,6YeE076e
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,h5592r4l
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,KrXLDCsT
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,SyPfM2Vn
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,f2IAgc9F
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,hafIlEMt
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,0R3B8AZY
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,YgzO7GuJ
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,Zv5oRzPA
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,OJUoMAbM
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,4gpLItro
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,zCoPiosk
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,SSiyiIei
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,tiPCnWkL
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,hluBGW78
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,OUDoZ6kX
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,OxfwJhK6
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,1uRuQDhr
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,Yfavfxnm
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,5HjMaAOH
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,w1sTfwGW
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,SVlUwQtm
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,3TZ4mz53
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,dr2Men6h
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,if3s0ip5
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,MwMr2K5I
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,Guvo9jjp
